date,time,title,content,press,link
2019.05.22,2019-05-22 00:00:49,"[가상화폐 뉴스] 05월 22일 00시 00분 비트코인(0.94%), 비트코인 골드(15.61...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 89,000원(0.94%) 상승한 9,509,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 대부분 상승세를 보이고 있다.가장 큰 상승세를 보이는 가상화폐는 비트코인 골드이다. 비트코인 골드은 24시간 전 대비 15.61%  상승한 32,370원에 거래되고 있다.또한, 질리카(13.46%, 24원), 스트리머(10.46%, 26원), 카이버 네트워크(9.06%, 337원), 제로엑스(5.51%, 402원), 퀀텀(5.28%, 3,790원), 오미세고(3.33%, 2,480원), 비트코인 캐시(2.88%, 500,500원), 아이오타(2.31%, 488원), 이더리움(1.31%, 301,800원), 리플(1.06%, 476원), 라이트코인(0.83%, 108,700원), 이오스(0.67%, 7,490원)은 상승세를 나타냈다.이더리움 클래식은 24시간 전 대비 -0.34%  상승한 8,810원에 거래되고 있다.한편 거래금액 기준으로는 리플, 비트코인, 이더리움 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000774012?sid=004
2019.05.22,,비트코인 0.19%↑ 이더리움 0% 리플 0.21%↑ 퀀텀 0% 라이트코인 -0.41%↓ 이...,,로이슈,http://www.lawissue.co.kr
2019.05.22,2019-05-22 00:00:48,"[가상화폐 뉴스] 제로엑스, 전일 대비 23원 (6.07%) 오른 402원","
[한국경제TV 라이온봇 기자]



[그림 1] 제로엑스 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)05월 22일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 제로엑스는 전일 대비 23원 (6.07%) 오른 402원에 거래되고 있다.전일 대비 최저가는 378원, 최고가는 405원이었다. 1일 거래량은 8,292 ZRX이며, 거래대금은 약 8,509,867원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 448원이었으며, 현재 가격은 고점 대비 89.73% 수준이다.또한, 최근 1개월 저점은 298원이었으며, 현재 가격은 저점 대비 134.9% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000774011?sid=004
2019.05.22,,비트코인 0.32%↑ 이더리움 0.10%↑ 리플 0.21%↑ 대시 1.67%↑ 에이다 0% 퀀...,,로이슈,http://www.lawissue.co.kr
2019.05.22,,비트코인 0.33%↑ 이더리움 0.07%↑ 리플 0.21%↑ 라이트코인 -0.55%↓ 대시 ...,,로이슈,http://www.lawissue.co.kr
2019.05.22,2019-05-22 00:01:28,"[가상화폐 뉴스] 카이버 네트워크, 전일 대비 28원 (9.06%) 오른 337원","
[한국경제TV 라이온봇 기자]



[그림 1] 카이버 네트워크 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)05월 22일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 카이버 네트워크는 전일 대비 28원 (9.06%) 오른 337원에 거래되고 있다.전일 대비 최저가는 309원, 최고가는 338원이었다. 1일 거래량은 56,446 KNC이며, 거래대금은 약 28,528,278원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 376원이었으며, 현재 가격은 고점 대비 89.63% 수준이다.또한, 최근 1개월 저점은 230원이었으며, 현재 가격은 저점 대비 146.52% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000774013?sid=004
2019.05.22,,[빗썸 가상화폐 시황] 00시 00분 현재 비트코인 1.42% ▲ 이더리움 1.78% ▲ ...,,내외경제tv,http://www.nbntv.co.kr
2019.05.22,2019-05-22 00:02:58,"[가상화폐 뉴스] 스트리머, 전일 대비 3원 (10.46%) 오른 26원","
[한국경제TV 라이온봇 기자]



[그림 1] 스트리머 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)05월 22일 00시 02분 현재 암호화폐 거래소 코인원에 따르면 스트리머는 전일 대비 3원 (10.46%) 오른 26원에 거래되고 있다.전일 대비 최저가는 23원, 최고가는 33원이었다. 1일 거래량은 599,820 DATA이며, 거래대금은 약 88,137,993원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 33원이었으며, 현재 가격은 고점 대비 78.79% 수준이다.또한, 최근 1개월 저점은 19원이었으며, 현재 가격은 저점 대비 136.84% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000774015?sid=004
2019.05.22,2019-05-22 00:02:18,"[가상화폐 뉴스] 질리카, 전일 대비 3원 (13.46%) 오른 24원","
[한국경제TV 라이온봇 기자]



[그림 1] 질리카 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)05월 22일 00시 01분 현재 암호화폐 거래소 코인원에 따르면 질리카는 전일 대비 3원 (13.46%) 오른 24원에 거래되고 있다.전일 대비 최저가는 21원, 최고가는 24원이었다. 1일 거래량은 1,727,548 ZIL이며, 거래대금은 약 174,379,851원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 26원이었으며, 현재 가격은 고점 대비 92.31% 수준이다.또한, 최근 1개월 저점은 19원이었으며, 현재 가격은 저점 대비 126.32% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000774014?sid=004
2019.05.22,,[암호화폐 시황] 비트코인 0.21%↑·이더리움 0.07%...0시 00분 현재,,글로벌경제,http://www.getnews.co.kr
2019.05.22,,"[코인빗 시황] 0시 1분 현재 비트코인 1.18% 오른 950만원, 이더리움 1.34% 오...",,로이슈,http://www.lawissue.co.kr
2019.05.22,,"상승하는 비트코인, 블록체인 생태계 살아날까?",,넥스트데일리,http://www.ebuzz.co.kr
2019.05.22,2019-05-22 00:04:48,"[가상화폐 뉴스] 비트코인 골드, 전일 대비 4,370원 (15.61%) 오른 32,370원","
[한국경제TV 라이온봇 기자]



[그림 1] 비트코인 골드 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)05월 22일 00시 04분 현재 암호화폐 거래소 코인원에 따르면 비트코인 골드는 전일 대비 4,370원 (15.61%) 오른 32,370원에 거래되고 있다.전일 대비 최저가는 28,000원, 최고가는 33,530원이었다. 1일 거래량은 264 BTG이며, 거래대금은 약 17,070,181원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 33,530원이었으며, 현재 가격은 고점 대비 96.54% 수준이다.또한, 최근 1개월 저점은 23,050원이었으며, 현재 가격은 저점 대비 140.43% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000774016?sid=004
2019.05.22,,"[00시 이더리움 시황] 이더리움 1.78% 상승, 이더리움 클래식 -0.28% 하락전망",,공감신문,http://gokorea.kr
2019.05.22,,"[00시 비트코인 시황] 비트코인 1.42% 상승세, 리플 1.06% 상승",,공감신문,http://gokorea.kr
2019.05.22,,“블록체인 인력 키우고 마이스산업 연계 전략 짜야”,,국제신문,http://www.kookje.co.kr/
2019.05.22,,"[암호화폐 시황] 코인제스트, 0시 10분 , 코즈플러스(0%), 비트코인(0.40%), ...",,로이슈,http://www.lawissue.co.kr
