date,time,title,content,press,link
2019.03.11,2019-03-11 00:01:01,"[가상화폐 뉴스] 카이버 네트워크, 전일 대비 28원 (-7.59%) 내린 341원","
[한국경제TV 라이온봇 기자]



[그림 1] 카이버 네트워크 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)03월 11일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 카이버 네트워크는 전일 대비 28원 (-7.59%) 내린 341원에 거래되고 있다.전일 대비 최저가는 331원, 최고가는 448원이었다. 1일 거래량은 581,883 KNC이며, 거래대금은 약 289,259,678원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 448원이었으며, 현재 가격은 고점 대비 76.12% 수준이다.또한, 최근 1개월 저점은 135원이었으며, 현재 가격은 저점 대비 252.59% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000746012?sid=004
2019.03.11,2019-03-11 00:01:10,"[가상화폐 뉴스] 03월 11일 00시 00분 비트코인(-0.55%), 오미세고(6.21%), 비...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 24,000원(-0.55%) 하락한 4,326,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 대부분 하락세를 보이고 있다.가장 큰 상승세를 보이는 가상화폐는 오미세고이다. 오미세고은 24시간 전 대비 6.21%  상승한 1,540원에 거래되고 있다.또한, 제로엑스(2.9%, 284원)은 상승세를 나타냈다.한편, 가장 큰 하락세를 보이는 가상화폐는 비트코인 골드이다. 비트코인 골드은 24시간 전 대비 -7.98%  하락한 17,300원에 거래되고 있다.또한, 카이버 네트워크(-7.59%, 341원), 질리카(-5%, 19원), 비트코인 캐시(-2.69%, 144,500원), 아이오타(-2.21%, 310원), 라이트코인(-2.1%, 62,900원), 퀀텀(-2.09%, 2,340원), 이더리움(-1.64%, 149,700원), 이더리움 클래식(-1.27%, 4,680원), 이오스(-1.2%, 4,100원), 리플(-0.86%, 344원)은 하락세를 나타냈다.스트리머는 24시간 전 대비 변동폭이 없었다.한편 거래금액 기준으로는 비트코인, 이더리움, 리플 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000746013?sid=004
2019.03.11,2019-03-11 00:01:50,"[가상화폐 뉴스] 오미세고, 전일 대비 90원 (6.21%) 오른 1,540원","
[한국경제TV 라이온봇 기자]



[그림 1] 오미세고 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)03월 11일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 오미세고는 전일 대비 90원 (6.21%) 오른 1,540원에 거래되고 있다.전일 대비 최저가는 1,450원, 최고가는 1,600원이었다. 1일 거래량은 32,799 OMG이며, 거래대금은 약 82,912,501원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 1,640원이었으며, 현재 가격은 고점 대비 93.9% 수준이다.또한, 최근 1개월 저점은 1,230원이었으며, 현재 가격은 저점 대비 125.2% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000746014?sid=004
2019.03.11,,비트코인 0.16%↑ 이더리움 -0.03%↓ 리플 -0.29%↓ 대시 -0.91%↓ 에이다 0%...,,로이슈,http://www.lawissue.co.kr
2019.03.11,,"암호화페(가상화폐)대표 종목 하락세,3월 11일 00시 기준 '리플' -2원 하락한...",,내외경제tv,http://www.nbntv.co.kr
2019.03.11,,"암호화페(가상화폐)대표 종목 비트코인시세 하락세,3월 11일 00시 기준 '비트...",,내외경제tv,http://www.nbntv.co.kr
2019.03.11,,비트코인 0.09%↑ 이더리움 0% 리플 0.29%↑ 퀀텀 0% 라이트코인 0.80%↑ 이오...,,로이슈,http://www.lawissue.co.kr
2019.03.11,,"[아주초대석] 권오용 한국가이드스타 상임이사 ""기부 투명화는 대세…공개하지...",,아주경제,http://www.ajunews.com
2019.03.11,,비트코인 0.05%↑ 이더리움 0.33%↑ 리플 0.29%↑ 라이트코인 1.05%↑ 대시 0...,,로이슈,http://www.lawissue.co.kr
2019.03.11,,[업비트 가상화폐 시황] 00시 01분 현재 비트코인 -0.41% ▼ 이더리움 -1.31%...,,내외경제tv,http://www.nbntv.co.kr
