date,time,title,content,press,link
2019.06.11,2019-06-11 00:00:49,"[가상화폐 뉴스] 퀀텀, 전일 대비 210원 (5.75%) 오른 3,860원","
[한국경제TV 라이온봇 기자]



[그림 1] 퀀텀 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)06월 11일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 퀀텀은 전일 대비 210원 (5.75%) 오른 3,860원에 거래되고 있다.전일 대비 최저가는 3,520원, 최고가는 4,120원이었다. 1일 거래량은 36,598 QTUM이며, 거래대금은 약 803,389,390원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 4,630원이었으며, 현재 가격은 고점 대비 83.37% 수준이다.또한, 최근 1개월 저점은 2,700원이었으며, 현재 가격은 저점 대비 142.96% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000780924?sid=004
2019.06.11,2019-06-11 00:00:50,"[가상화폐 뉴스] 06월 11일 00시 00분 비트코인(0.93%), 라이트코인(6.87%), ...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 89,000원(0.93%) 상승한 9,670,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 상승이 우세하다.가장 큰 상승세를 보이는 가상화폐는 라이트코인이다. 라이트코인은 24시간 전 대비 6.87%  상승한 154,000원에 거래되고 있다.또한, 퀀텀(5.46%, 3,860원), 카이버 네트워크(5.35%, 335원), 제로엑스(4.5%, 418원), 비트코인 골드(4.14%, 36,990원), 스트리머(3.05%, 30원), 이오스(1.56%, 7,800원), 이더리움(0.83%, 296,150원), 아이오타(0.58%, 517원), 비트코인 캐시(0.22%, 477,450원), 이더리움 클래식(0.1%, 10,160원)은 상승세를 나타냈다.한편, 가장 큰 하락세를 보이는 가상화폐는 오미세고이다. 오미세고은 24시간 전 대비 -1.61%  하락한 2,440원에 거래되고 있다.또한, 리플(-1.22%, 487원), 질리카(-0.71%, 28원)은 하락세를 나타냈다.한편 거래금액 기준으로는 리플, 비트코인, 이더리움 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000780925?sid=004
2019.06.11,,비트코인 0.12%↑ 이더리움 0.32%↑ 리플 0.83%↑ 퀀텀 -0.26%↓ 라이트코인 ...,,로이슈,http://www.lawissue.co.kr
2019.06.11,,비트코인 0.01%↑ 이더리움 0.30%↑ 리플 0.83%↑ 라이트코인 0.39%↑ 대시 0...,,로이슈,http://www.lawissue.co.kr
2019.06.11,,비트코인 -0.03%↓ 이더리움 0.42%↑ 리플 0.83%↑ 대시 0.64%↑ 에이다 0% 퀀...,,로이슈,http://www.lawissue.co.kr
2019.06.11,2019-06-11 00:01:28,"[가상화폐 뉴스] 카이버 네트워크, 전일 대비 17원 (5.35%) 오른 335원","
[한국경제TV 라이온봇 기자]



[그림 1] 카이버 네트워크 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)06월 11일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 카이버 네트워크는 전일 대비 17원 (5.35%) 오른 335원에 거래되고 있다.전일 대비 최저가는 315원, 최고가는 335원이었다. 1일 거래량은 14,608 KNC이며, 거래대금은 약 3,309,529원이었다.전일 거래량 대비 당일 거래량은 증가하고 있다. 최근 1개월 고점은 401원이었으며, 현재 가격은 고점 대비 83.54% 수준이다.또한, 최근 1개월 저점은 230원이었으며, 현재 가격은 저점 대비 145.65% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000780926?sid=004
2019.06.11,,Exodus from Korea (KOR),,코리아중앙데일리,http://koreajoongangdaily.joins.com/
2019.06.11,2019-06-11 00:02:38,"[가상화폐 뉴스] 라이트코인, 전일 대비 9,800원 (6.8%) 오른 153,900원","
[한국경제TV 라이온봇 기자]



[그림 1] 라이트코인 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)06월 11일 00시 01분 현재 암호화폐 거래소 코인원에 따르면 라이트코인은 전일 대비 9,800원 (6.8%) 오른 153,900원에 거래되고 있다.전일 대비 최저가는 139,150원, 최고가는 155,550원이었다. 1일 거래량은 3,770 LTC이며, 거래대금은 약 1,297,513,273원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 155,550원이었으며, 현재 가격은 고점 대비 98.94% 수준이다.또한, 최근 1개월 저점은 85,600원이었으며, 현재 가격은 저점 대비 179.79% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000780927?sid=004
2019.06.11,,"[코인빗 시황] 0시 1분 현재 비트코인 2.32% 내린 937만원, 이더리움 0.55% 오...",,로이슈,http://www.lawissue.co.kr
2019.06.11,,[암호화폐 시황] 비트코인 -0.11%·이더리움 0.37%↑...0시 00분 현재,,글로벌경제,http://www.getnews.co.kr
