date,time,title,content,press,link
2019.06.07,,비트코인 -0.66%↓ 이더리움 -0.14%↓ 리플 -0.42%↓ 라이트코인 -0.56%↓ 대...,,로이슈,http://www.lawissue.co.kr
2019.06.07,2019-06-07 00:00:48,"[가상화폐 뉴스] 비트코인 골드, 전일 대비 2,930원 (-7.71%) 내린 35,050원","
[한국경제TV 라이온봇 기자]



[그림 1] 비트코인 골드 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)06월 07일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 비트코인 골드는 전일 대비 2,930원 (-7.71%) 내린 35,050원에 거래되고 있다.전일 대비 최저가는 35,030원, 최고가는 37,980원이었다. 1일 거래량은 30 BTG이며, 거래대금은 약 1,688,070원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 49,910원이었으며, 현재 가격은 고점 대비 70.23% 수준이다.또한, 최근 1개월 저점은 23,050원이었으며, 현재 가격은 저점 대비 152.06% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000779621?sid=004
2019.06.07,,비트코인 -0.39%↓ 이더리움 -0.15%↓ 리플 -0.42%↓ 퀀텀 0.56%↑ 라이트코인...,,로이슈,http://www.lawissue.co.kr
2019.06.07,2019-06-07 00:00:49,"[가상화폐 뉴스] 06월 07일 00시 00분 비트코인(-1.27%), 오미세고(1.69%), 비...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 120,000원(-1.27%) 하락한 9,322,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 대부분 하락세를 보이고 있다.가장 큰 상승세를 보이는 가상화폐는 오미세고이다. 오미세고은 24시간 전 대비 1.69%  상승한 2,400원에 거래되고 있다.또한, 카이버 네트워크(1%, 303원)은 상승세를 나타냈다.한편, 가장 큰 하락세를 보이는 가상화폐는 비트코인 골드이다. 비트코인 골드은 24시간 전 대비 -7.71%  하락한 35,050원에 거래되고 있다.또한, 이더리움 클래식(-3.71%, 9,340원), 이오스(-2.09%, 7,510원), 비트코인 캐시(-2.02%, 466,000원), 스트리머(-1.4%, 28원), 아이오타(-1.36%, 507원), 질리카(-1.15%, 26원), 퀀텀(-0.83%, 3,580원), 라이트코인(-0.76%, 124,050원), 리플(-0.62%, 480원), 이더리움(-0.42%, 294,350원), 제로엑스(-0.26%, 378원)은 하락세를 나타냈다.한편 거래금액 기준으로는 리플, 비트코인, 이더리움 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000779622?sid=004
2019.06.07,,비트코인 -0.31%↓ 이더리움 -0.19%↓ 리플 -0.21%↓ 대시 -0.17%↓ 에이다 -...,,로이슈,http://www.lawissue.co.kr
2019.06.07,,"[코인빗 시황] 0시 1분 현재 비트코인 1.36% 내린 930만원, 이더리움 0.51% 내...",,로이슈,http://www.lawissue.co.kr
2019.06.07,,[암호화폐 시황] 비트코인 -0.37%↓·이더리움 -0.27%↓...0시 00분 현재,,글로벌경제,http://www.getnews.co.kr
2019.06.07,,[빗썸 가상화폐 시황] 00시 03분 현재 비트코인 -2.49% ▼ 이더리움 -0.84% ▼...,,내외경제tv,http://www.nbntv.co.kr
2019.06.07,,"[00시 비트코인 시황] 비트코인 -2.49%, 모네로-1.16%, 리플 -1.64%",,공감신문,http://gokorea.kr
2019.06.07,,"[00시 이더리움 시황] 이더리움 -0.84% 하락세, 이더리움 클래식 -3.92% 하락",,공감신문,http://gokorea.kr
