date,time,title,content,press,link
2019.02.09,2019-02-09 00:00:58,"[가상화폐 뉴스] 비트코인 골드, 전일 대비 2,100원 (12.35%) 오른 19,100원","
[한국경제TV 라이온봇 기자]



[그림 1] 비트코인 골드 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)02월 09일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 비트코인 골드는 전일 대비 2,100원 (12.35%) 오른 19,100원에 거래되고 있다.전일 대비 최저가는 17,050원, 최고가는 19,100원이었다. 1일 거래량은 22 BTG이며, 거래대금은 약 37,018원이었다.전일 거래량 대비 당일 거래량은 증가하고 있다. 최근 1개월 고점은 29,300원이었으며, 현재 가격은 고점 대비 65.19% 수준이다.또한, 최근 1개월 저점은 16,200원이었으며, 현재 가격은 저점 대비 117.9% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000735507?sid=004
2019.02.09,2019-02-09 00:00:59,"[가상화폐 뉴스] 02월 09일 00시 00분 비트코인(1.19%), 라이트코인(14.09%),...","
[한국경제TV 라이온봇 기자]



[그림 1] 가상화폐 시세 (제공: 암호화폐 거래소 코인원) 현재 암호화폐 거래소 ""코인원""에 따르면 가상화폐 대장 격인 비트코인의 시세는 24시간 전 대비 45,000원(1.19%) 상승한 3,835,000원에 거래되고 있다.비트코인을 제외한 가상화폐 동향은 상승이 우세하다.가장 큰 상승세를 보이는 가상화폐는 라이트코인이다. 라이트코인은 24시간 전 대비 14.09%  상승한 42,100원에 거래되고 있다.또한, 비트코인 골드(12.35%, 19,100원), 스트리머(5.26%, 20원), 질리카(5.26%, 20원), 오미세고(5.17%, 1,220원), 이오스(3.83%, 2,710원), 이더리움(3.69%, 120,900원), 퀀텀(3.55%, 2,040원), 아이오타(2.46%, 291원), 비트코인 캐시(2.33%, 132,000원), 이더리움 클래식(1.86%, 4,370원), 리플(1.85%, 331원)은 상승세를 나타냈다.카이버 네트워크은 24시간 전 대비 -3.7%  상승한 130원에 거래되고 있다.제로엑스는 24시간 전 대비 변동폭이 없었다.한편 거래금액 기준으로는 리플, 비트코인, 이더리움 순으로 가장 활발한 거래를 보이고 있다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000735508?sid=004
2019.02.09,,"가상화폐(암호화폐)대표 종목 비트코인시세 상승세,2월 9일 00시 기준 '비트코...",,내외경제tv,http://www.nbntv.co.kr
2019.02.09,2019-02-09 00:01:39,"[가상화폐 뉴스] 질리카, 전일 대비 1원 (5.26%) 오른 20원","
[한국경제TV 라이온봇 기자]



[그림 1] 질리카 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)02월 09일 00시 00분 현재 암호화폐 거래소 코인원에 따르면 질리카는 전일 대비 1원 (5.26%) 오른 20원에 거래되고 있다.전일 대비 최저가는 18원, 최고가는 20원이었다. 1일 거래량은 1,624,269 ZIL이며, 거래대금은 약 63,723,297원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 28원이었으며, 현재 가격은 고점 대비 71.43% 수준이다.또한, 최근 1개월 저점은 18원이었으며, 현재 가격은 저점 대비 111.11% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000735509?sid=004
2019.02.09,,비트코인 0.13%↑ 이더리움 0.08%↑ 리플 0.30%↑ 퀀텀 0% 라이트코인 1.20%↑...,,로이슈,http://www.lawissue.co.kr
2019.02.09,,비트코인 0.24%↑ 이더리움 0.17%↑ 리플 0% 라이트코인 1.01%↑ 대시 0.26%↑...,,로이슈,http://www.lawissue.co.kr
2019.02.09,,"[블록체인 뉴스 브리핑] 에듀해시,하이퍼레저,바이낸스,R3,OEX,엔도르 프로토...",,블록체인밸리,http://www.fintechpost.co.kr
2019.02.09,,비트코인 0.31%↑ 이더리움 0.12%↑ 리플 0.30%↑ 대시 0.34%↑ 에이다 0.70%...,,로이슈,http://www.lawissue.co.kr
2019.02.09,,"가상화폐(암호화폐) 대표 종목 상승세,2월 9일 00시 기준 '리플' 6원 상승한 ...",,내외경제tv,http://www.nbntv.co.kr
2019.02.09,2019-02-09 00:02:28,"[가상화폐 뉴스] 라이트코인, 전일 대비 5,200원 (14.09%) 오른 42,100원","
[한국경제TV 라이온봇 기자]



[그림 1] 라이트코인 최근 1개월 추세 (제공: 암호화폐 거래소 코인원)02월 09일 00시 01분 현재 암호화폐 거래소 코인원에 따르면 라이트코인은 전일 대비 5,200원 (14.09%) 오른 42,100원에 거래되고 있다.전일 대비 최저가는 36,600원, 최고가는 42,900원이었다. 1일 거래량은 449 LTC이며, 거래대금은 약 98,560,128원이었다.전일 거래량 대비 당일 거래량은 감소하고 있다.최근 1개월 고점은 45,700원이었으며, 현재 가격은 고점 대비 92.12% 수준이다.또한, 최근 1개월 저점은 33,300원이었으며, 현재 가격은 저점 대비 126.43% 수준이다.



라이온봇 기자 -한국경제TV※ 본 기사는 한국경제TV와 '거장들의 투자공식이'자체 개발한 '라이온봇 기자'가 실시간으로 작성한 기사입니다.라이온봇기자 ▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산]ⓒ 한국경제TV, 무단 전재 및 재배포 금지
		",한국경제TV,https://n.news.naver.com/mnews/article/215/0000735510?sid=004
